S_AMPEAK_TT,S_AMOFFPEAK_TTV,S_AMOFFPEAK_TT,S_PMOFFPEAK_TT,S_PMPEAK_TT,S_EVENING_TT,S_AMOFFPEAK_OCCUPANCY,S_PMOFFPEAK_OCCUPANCY,S_PMPEAK_OCCUPANCY,D_AMPEAK_OCCUPANCY,D_AMOFFPEAK_OCCUPANCY,D_PMOFFPEAK_OCCUPANCY,folder,m0,m2,m4,m5,m7,m8,m9,m10,m15,m17,m18,m999,m1001,m1015
-0.33333333333333337,0.0,-0.33333333333333337,-1.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,-1.0,0.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim31,1323341,319722,18688,1184,24827,86010,22053,71916,3579,49573,62330,1898,318,85011
-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-1.0,0.0,0.0,0.0,-0.6666666666666666,-1.0,-1.0,0.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim32,1322581,319894,19029,1159,24586,85766,22077,72076,3736,49573,62330,1825,324,84783
-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-1.0,0.0,-0.6666666666666666,0.0,-0.6666666666666666,-1.0,-1.0,0.0,-0.6666666666666666,/projects/vsokolov/timing-austin//experiments/Sim33,1350474,323690,17507,823,23583,93055,22481,73326,3832,49573,62330,1854,316,84192
-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-1.0,0.0,-0.6666666666666666,0.0,-0.6666666666666666,-1.0,-1.0,0.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim34,1352745,324213,17328,796,23823,93012,22562,73683,3625,49572,62330,1816,319,84097
-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-1.0,0.0,-0.6666666666666666,0.0,-0.6666666666666666,-0.33333333333333337,-1.0,0.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim35,1349738,323360,17594,790,23168,92443,22609,73741,3841,49573,62330,1809,316,83957
-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-1.0,-0.6666666666666666,-0.6666666666666666,0.0,-0.6666666666666666,-0.33333333333333337,-1.0,0.0,0.0,/projects/vsokolov/timing-austin//experiments/Sim36,1335665,319645,16698,718,23689,96734,21945,73125,3733,49573,62330,1609,316,83269
-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-1.0,-0.6666666666666666,-0.6666666666666666,0.0,-0.6666666666666666,-0.33333333333333337,-1.0,-0.6666666666666666,0.0,/projects/vsokolov/timing-austin//experiments/Sim37,1338193,319495,16929,689,23958,96448,21529,72608,3689,49573,62330,1782,382,83297
-0.33333333333333337,-0.6666666666666666,-1.0,-1.0,-0.6666666666666666,-0.6666666666666666,0.0,-0.6666666666666666,-0.33333333333333337,-1.0,-0.6666666666666666,0.0,/projects/vsokolov/timing-austin//experiments/Sim38,1274061,304457,15851,542,25360,100933,19103,71810,3603,49573,62329,2059,399,82185
-0.6666666666666666,0.0,-1.0,-0.6666666666666666,-1.0,-1.0,-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-1.0,-0.6666666666666666,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim39,1271019,305785,15744,541,25374,100610,19892,71948,3692,49573,62330,1970,387,81882
-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-1.0,-1.0,0.0,-0.33333333333333337,-1.0,-1.0,-1.0,-0.33333333333333337,0.0,/projects/vsokolov/timing-austin//experiments/Sim4,1328266,321255,17218,1111,24281,98950,21677,73615,3609,49573,62330,1703,374,86826
-0.6666666666666666,0.0,-1.0,-0.6666666666666666,-1.0,-1.0,-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim40,1269180,306314,15914,561,25159,100039,19592,72875,3652,49572,62330,2034,321,81882
-0.6666666666666666,0.0,-1.0,-0.6666666666666666,-0.33333333333333337,-1.0,-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim41,1284474,306875,15912,541,25028,100023,19792,72626,3856,49573,62330,2062,395,82506
-0.6666666666666666,0.0,-1.0,0.0,-0.33333333333333337,-1.0,-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim42,1337439,321129,16691,750,23464,95605,22809,72682,3866,49573,62329,1810,358,82660
0.0,0.0,-1.0,0.0,-0.33333333333333337,-1.0,-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim43,1354283,324441,17175,910,24256,99555,22692,73488,3705,49573,62330,1670,318,82921
0.0,0.0,-1.0,0.0,-0.33333333333333337,-1.0,-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-0.33333333333333337,0.0,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim44,1351997,323764,16768,860,24226,99608,22560,73804,3794,49573,62330,1718,279,82658
0.0,0.0,-1.0,0.0,-0.33333333333333337,-1.0,-0.33333333333333337,-0.6666666666666666,-1.0,-0.33333333333333337,0.0,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim45,1354677,324013,16794,877,24144,100305,22686,73057,3843,49573,62330,1735,363,83108
0.0,0.0,-0.33333333333333337,0.0,-0.33333333333333337,-1.0,-0.33333333333333337,-0.6666666666666666,-1.0,-0.33333333333333337,0.0,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim46,1364851,330089,16820,858,23888,100670,22608,73645,3782,49573,62330,1710,309,83488
0.0,-0.6666666666666666,-0.33333333333333337,0.0,-0.33333333333333337,-1.0,-0.33333333333333337,-0.6666666666666666,-1.0,-0.33333333333333337,0.0,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim47,1365541,329239,17452,933,23914,100053,22234,73796,3650,49573,62330,1736,318,83554
0.0,-0.6666666666666666,-0.33333333333333337,0.0,-0.33333333333333337,-1.0,-0.33333333333333337,0.0,-1.0,-0.33333333333333337,0.0,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim48,1373462,328364,17971,948,23341,91439,23178,72113,3828,49573,62330,1754,350,82008
0.0,-0.6666666666666666,-0.33333333333333337,0.0,-0.33333333333333337,-1.0,-1.0,0.0,-1.0,-0.33333333333333337,0.0,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim49,1373824,328655,17734,930,23360,92724,23062,73014,3755,49573,62330,1633,293,82457
-0.33333333333333337,-0.6666666666666666,-0.33333333333333337,-1.0,-1.0,0.0,-0.33333333333333337,-1.0,-0.33333333333333337,-1.0,-0.33333333333333337,0.0,/projects/vsokolov/timing-austin//experiments/Sim5,1327885,319578,17341,1064,24449,99533,21750,74488,3685,49573,62330,1644,336,87182
0.0,-0.6666666666666666,-0.33333333333333337,0.0,-0.33333333333333337,-0.33333333333333337,-1.0,0.0,-1.0,-0.33333333333333337,0.0,-0.33333333333333337,/projects/vsokolov/timing-austin//experiments/Sim50,1364305,326728,18289,1088,23802,86929,23090,71415,3717,49573,62330,1771,337,81869
0.0,-0.6666666666666666,-0.33333333333333337,0.0,-0.33333333333333337,-0.33333333333333337,-1.0,0.0,-1.0,-0.33333333333333337,0.0,-1.0,/projects/vsokolov/timing-austin//experiments/Sim51,1362608,326685,18159,1070,23821,86224,22898,71360,3665,49573,62330,1895,297,82554
